Date,Hour,City,City_Code,Grid_ID,Consumer_Type,Energy_Consumption_kWh,Renewable_Energy_kWh,Grid_Load_Percentage,Voltage_Level,Power_Outage,Temperature_C,Tariff_Rate,Energy_Cost,Peak_Hour,Smart_Meter_ID
09-10-2025,16,Delhi,DEL,G645,Industrial,106.97,33.7,50.7,221.26,0,25.88,7.94,849.52,No,SM36894
02-06-2025,8,Bangalore,BLR,G263,Commercial,59.41,29.51,42.94,223.23,0,23.61,7.18,426.55,No,SM31243
07-02-2025,22,Delhi,DEL,G222,Residential,15.41,4.59,53.54,233.4,0,31.9,7.55,116.33,Yes,SM64362
22-06-2025,12,Chennai,CHE,G879,Commercial,54.11,24.76,52.41,231.37,0,30.01,7.22,390.73,No,SM31188
28-04-2025,6,Ahmedabad,AMD,G621,Commercial,33.81,23.22,62.38,225.42,0,34.19,5.66,191.39,No,SM59701
15-05-2025,23,Chennai,CHE,G375,Commercial,48.69,18.49,41.87,234.76,0,27.54,7.61,370.68,No,SM82936
01-06-2025,14,Chennai,CHE,G309,Commercial,36.79,14.62,48.68,231.72,0,30.55,7.47,274.89,No,SM65198
23-02-2025,22,Bangalore,BLR,G374,Residential,16.33,9.3,34.63,220.04,0,30.68,6.56,107.13,Yes,SM11024
22-04-2025,19,Ahmedabad,AMD,G958,Commercial,56.59,24.26,36.66,228.71,1,35.13,6.29,355.89,Yes,SM64473
09-09-2025,21,Chennai,CHE,G846,Residential,8.64,5.49,30.86,230.14,0,29.32,7.69,66.52,Yes,SM52890
20-09-2025,17,Bangalore,BLR,G161,Industrial,134.54,71.32,61.45,223.42,0,27.32,6.51,875.42,No,SM51566
07-05-2025,2,Ahmedabad,AMD,G348,Industrial,110.53,75.6,47.05,230.16,1,33.8,5.58,616.99,No,SM19206
26-01-2025,6,Kolkata,PUN,G106,Residential,3,0.76,40,223.89,0,28.43,6.58,19.7,No,SM30644
31-12-2025,22,Ahmedabad,AMD,G323,Residential,10.25,7.36,39.03,226.95,0,34.45,5.8,59.43,Yes,SM83239
17-08-2025,17,Mumbai,MUM,G380,Residential,3.02,0.53,35.3,229.84,0,29.01,9.14,27.58,No,SM52756
27-04-2025,23,Mumbai,MUM,G278,Commercial,45.83,13.93,37.58,227.08,0,26.33,8.74,400.52,No,SM70252
26-02-2025,7,Delhi,DEL,G614,Residential,11.97,4.79,43.2,224.24,0,24.31,7.85,93.97,No,SM45020
16-06-2025,0,Chennai,CHE,G974,Commercial,45.82,15.38,60.58,234.53,0,33.87,7.35,336.77,No,SM12242
28-11-2025,11,Chennai,CHE,G945,Industrial,179.03,81.75,69.9,222.63,1,28.2,7.49,1341.39,No,SM48628
15-04-2025,23,Chandigarh,CHD,G770,Commercial,10.91,4.61,53.09,225.93,0,29.02,6.26,68.32,No,SM99520
10-10-2025,19,Hyderabad,HYD,G102,Residential,10.36,2.77,60.04,234.63,0,26.93,7.06,73.16,Yes,SM60698
19-07-2025,12,Delhi,DEL,G519,Residential,11.09,3.87,38.11,227.17,0,26.46,7.53,83.56,No,SM75273
30-09-2025,1,Chennai,CHE,G635,Residential,2.72,1.38,33.27,224.99,0,27.27,7.49,20.38,No,SM60050
01-06-2025,8,Hyderabad,HYD,G699,Residential,8.09,4.86,43.81,230.74,0,27.84,6.52,52.72,No,SM17513
25-07-2025,10,Ahmedabad,AMD,G355,Commercial,55.97,26.96,60.6,227.76,0,35.39,6.18,345.78,No,SM91772
30-12-2025,6,Hyderabad,HYD,G735,Residential,3.34,1.68,40.33,224.18,0,28.97,7.47,24.95,No,SM73544
06-03-2025,9,Hyderabad,HYD,G835,Commercial,61.17,27.22,47.12,225.11,0,27.47,7.02,429.37,No,SM78688
24-06-2025,10,Ahmedabad,AMD,G565,Residential,10.58,4.9,53.06,220.42,0,29.97,5.62,59.47,No,SM42621
19-11-2025,23,Hyderabad,HYD,G934,Industrial,121.23,63.08,70.12,230.74,0,26.92,7.14,865.54,No,SM71643
19-09-2025,1,Hyderabad,HYD,G829,Industrial,106.78,53.75,46.68,223.93,0,25.86,7.17,765.87,No,SM88675
12-01-2025,19,Ahmedabad,AMD,G240,Commercial,51.77,28.99,43.18,229.76,0,32.1,6.27,324.82,Yes,SM61257
06-03-2025,4,Hyderabad,HYD,G979,Industrial,87.81,46.86,57.78,224.98,0,33.64,6.98,613.17,No,SM24885
25-08-2025,13,Chandigarh,CHD,G767,Commercial,31.78,10.04,54.18,225.22,0,27.47,5.78,183.78,No,SM50300
13-01-2025,13,Ahmedabad,AMD,G641,Residential,3.86,2.05,33.39,230.42,0,36.71,6.43,24.8,No,SM58096
31-10-2025,10,Kolkata,PUN,G469,Commercial,21.18,6.39,56.18,232.58,0,28.32,6.25,132.32,No,SM37788
27-10-2025,1,Ahmedabad,AMD,G415,Industrial,116.06,61.39,58.61,230.75,0,31.64,6.13,711.48,No,SM92473
10-01-2025,15,Ahmedabad,AMD,G825,Residential,6.58,3.72,55.66,232.79,0,27.91,5.69,37.43,No,SM62887
03-12-2025,10,Delhi,DEL,G217,Residential,8.34,2.11,47.83,228.83,0,23.81,7.85,65.44,No,SM73987
16-10-2025,1,Hyderabad,HYD,G441,Residential,3.38,1.42,59.34,226.48,0,24.97,7.35,24.87,No,SM32408
21-12-2025,20,Mumbai,MUM,G308,Industrial,299.04,63.52,64.9,231.26,0,30.09,9.43,2821.05,Yes,SM24249
01-11-2025,6,Chennai,CHE,G992,Industrial,156.01,100.24,60.6,233.74,0,31.88,7.22,1125.88,No,SM34725
28-02-2025,5,Chandigarh,CHD,G251,Commercial,13.45,6.83,39.35,223.48,1,29.86,6.36,85.62,No,SM29224
01-06-2025,18,Chennai,CHE,G790,Commercial,41.48,17.17,57.15,226.28,0,34.47,7.79,323.3,Yes,SM41120
31-12-2025,15,Chennai,CHE,G942,Industrial,209.22,125.66,75.92,225.08,0,26.83,7.99,1671.67,No,SM57263
24-08-2025,4,Ahmedabad,AMD,G717,Residential,3.54,2.18,33.35,231.08,0,27.96,5.71,20.24,No,SM21675
27-01-2025,13,Mumbai,MUM,G291,Commercial,40.03,11.71,59,227.47,0,32.19,9.06,362.59,No,SM89548
21-12-2025,18,Chandigarh,CHD,G135,Industrial,139.32,64.79,72.93,234.06,0,23,5.97,831.58,Yes,SM23921
12-09-2025,10,Kolkata,PUN,G755,Commercial,41.32,14.95,40,230.94,0,28.78,6.51,269.06,No,SM68934
07-07-2025,9,Kolkata,PUN,G623,Industrial,139.63,51.43,58.49,228.07,0,23.55,6.4,893.62,No,SM37517
27-05-2025,10,Hyderabad,HYD,G148,Commercial,79.54,24.6,40.95,234.14,0,24.44,7.08,563.22,No,SM54755
09-02-2025,7,Kolkata,PUN,G849,Residential,6.92,1.8,48.71,228.49,0,22.15,6.79,47.03,No,SM59406
16-09-2025,5,Chennai,CHE,G932,Residential,4.82,2.41,44.48,233.39,0,32.23,7.81,37.68,No,SM16464
02-09-2025,19,Kolkata,PUN,G148,Commercial,66.25,20.5,54.79,223.26,0,25,6.38,422.6,Yes,SM20278
18-03-2025,15,Chennai,CHE,G664,Industrial,123.16,56.02,43.32,226.87,0,31.57,7.75,954.78,No,SM76118
02-06-2025,12,Chandigarh,CHD,G135,Commercial,26.68,9.12,47.67,220.31,0,23.57,5.7,152.06,No,SM39966
09-08-2025,23,Delhi,DEL,G377,Commercial,18.64,8.24,50.86,230.86,0,29.09,8.32,155.13,No,SM93461
22-10-2025,1,Delhi,DEL,G900,Residential,5.42,2.16,48.54,234.25,0,27.7,8.49,45.98,No,SM72253
08-02-2025,22,Bangalore,BLR,G124,Residential,6.67,3.41,58.67,232.67,0,23.5,6.95,46.37,Yes,SM71256
10-04-2025,3,Mumbai,MUM,G170,Residential,2.27,0.56,44.23,223.98,0,26.31,8.51,19.35,No,SM31409
16-03-2025,0,Bangalore,BLR,G566,Commercial,27.33,12.29,38.73,230.76,0,29.65,6.74,184.1,No,SM48991
17-12-2025,17,Kolkata,PUN,G311,Commercial,40.59,10.57,52.93,222.29,0,22.47,6.67,270.61,No,SM62573
16-02-2025,19,Kolkata,PUN,G238,Commercial,36.57,14.36,41.69,223.43,0,27.51,6.5,237.59,Yes,SM62350
24-04-2025,14,Chandigarh,CHD,G749,Commercial,21.18,5.11,36.12,224.58,0,27.13,6.29,133.17,No,SM63100
09-03-2025,10,Delhi,DEL,G760,Residential,9.56,2.3,36.96,226.59,0,26.91,7.89,75.43,No,SM17178
02-02-2025,6,Mumbai,MUM,G858,Industrial,112.74,36.35,50.27,223.76,0,30.97,8.74,985.04,No,SM31189
28-03-2025,3,Chandigarh,CHD,G174,Residential,4.26,1.55,53.43,223.26,0,25.91,6.34,27,No,SM85133
07-06-2025,0,Kolkata,PUN,G267,Commercial,11.14,2.83,40,228.01,0,31,6.42,71.48,No,SM77495
28-12-2025,23,Bangalore,BLR,G954,Residential,8.78,4.25,51.88,231.95,0,29.21,6.76,59.29,No,SM57220
11-09-2025,0,Bangalore,BLR,G432,Industrial,96.64,47.64,67.66,232.85,0,26.52,7.09,685.43,No,SM60971
16-04-2025,21,Chennai,CHE,G209,Industrial,318.92,135.01,75.89,234.72,0,31.86,7.22,2303.34,Yes,SM74697
15-07-2025,21,Chennai,CHE,G784,Industrial,306.85,104.92,77.68,231.15,0,35.94,7.73,2371.13,Yes,SM13694
27-05-2025,23,Kolkata,PUN,G896,Commercial,47.82,17.83,50,223.01,0,27.88,6.78,324,No,SM37672
05-09-2025,21,Chandigarh,CHD,G445,Industrial,208,116.99,63.8,223.33,1,20.84,6.11,1269.94,Yes,SM26601
10-03-2025,12,Delhi,DEL,G830,Residential,10.82,3.22,43.08,221.3,0,23.01,8.25,89.29,No,SM80996
01-12-2025,9,Mumbai,MUM,G963,Residential,12.29,3.13,50.23,234.08,0,25.94,9.13,112.17,No,SM82595
11-01-2025,9,Chennai,CHE,G844,Residential,12.51,5.48,54.25,221.73,0,26.64,7.71,96.46,No,SM58291
24-01-2025,5,Hyderabad,HYD,G528,Commercial,16.28,8.53,38.63,232.45,0,27.71,6.53,106.25,No,SM76652
09-08-2025,10,Chennai,CHE,G495,Residential,8.22,3.35,53.82,220.22,0,30.32,7.64,62.79,No,SM98799
16-03-2025,7,Hyderabad,HYD,G197,Commercial,37.89,16.85,52.79,233.58,0,28.1,6.76,256.34,No,SM75021
02-02-2025,2,Chandigarh,CHD,G435,Industrial,66.7,23.62,43.67,221.28,0,20.78,5.68,378.62,No,SM21447
02-12-2025,23,Bangalore,BLR,G476,Commercial,54.17,22.68,46.42,224.75,0,24.61,7.32,396.41,No,SM57002
22-01-2025,16,Bangalore,BLR,G334,Residential,5.84,3.19,31.58,228.67,0,24.14,7.27,42.45,No,SM81050
04-07-2025,2,Delhi,DEL,G806,Residential,10.77,4.38,59.08,221.31,0,31.98,7.67,82.55,No,SM32723
15-02-2025,17,Hyderabad,HYD,G324,Industrial,190.8,89.36,68.08,228.03,0,33.63,6.55,1249.7,No,SM40671
26-04-2025,13,Delhi,DEL,G114,Residential,6.36,2.23,54.64,233.93,0,31.31,7.78,49.48,No,SM86986
10-09-2025,3,Delhi,DEL,G230,Commercial,33.8,11.7,52.38,229.94,0,24.47,8.48,286.55,No,SM47959
19-05-2025,1,Hyderabad,HYD,G165,Residential,5.29,2.71,52.53,232.59,0,24.58,6.65,35.21,No,SM13097
30-06-2025,0,Kolkata,PUN,G231,Residential,3.74,1,56.38,223.88,0,29.61,6.35,23.76,No,SM23886
12-02-2025,9,Chennai,CHE,G372,Industrial,112.59,56.48,43.26,221.71,0,31.76,7.93,893.04,No,SM29228
14-06-2025,22,Hyderabad,HYD,G881,Commercial,130.86,65.02,62.09,230.52,0,26.64,7.24,947.47,Yes,SM64601
21-09-2025,6,Kolkata,PUN,G462,Commercial,20.96,7.08,40,230.83,0,25.13,6.69,140.31,No,SM47140
09-10-2025,19,Bangalore,BLR,G902,Residential,7.37,3.51,31.74,231.69,0,23.58,7.45,54.89,Yes,SM17586
03-04-2025,22,Kolkata,PUN,G264,Industrial,162.88,57.18,49.35,228.83,1,29.52,6.3,1026.34,Yes,SM98995
04-02-2025,15,Bangalore,BLR,G324,Commercial,27.34,17.54,41.73,226.98,0,22.97,7.35,200.95,No,SM44527
13-02-2025,19,Bangalore,BLR,G444,Residential,5.97,3.53,41.6,221.68,0,29.83,7.14,42.67,Yes,SM54310
12-08-2025,12,Ahmedabad,AMD,G176,Commercial,14.64,8.37,36.46,220.31,0,27.88,6.23,91.18,No,SM29751
12-01-2025,2,Bangalore,BLR,G709,Residential,6.46,3.44,33.65,234.91,0,22.87,7.28,46.97,No,SM11588
31-07-2025,10,Chandigarh,CHD,G467,Industrial,224.75,86.89,75.47,222.18,0,26.2,5.95,1336.42,No,SM14034
05-04-2025,18,Hyderabad,HYD,G292,Residential,7.31,3.9,49.73,227.13,0,25.92,7.05,51.59,Yes,SM23584
19-12-2025,8,Delhi,DEL,G437,Industrial,141.01,50.87,57.1,229.81,0,29.44,8.18,1152.83,No,SM44869
09-02-2025,16,Mumbai,MUM,G458,Residential,5.76,2.19,48.58,231.65,1,33.47,9.31,53.59,No,SM48304
23-02-2025,19,Mumbai,MUM,G527,Commercial,65.97,9.9,62.6,224.02,0,28.58,8.9,587.4,Yes,SM45631
27-07-2025,11,Mumbai,MUM,G622,Industrial,312.7,88.53,79.27,229.06,0,31.75,9.46,2958.21,No,SM69009
01-02-2025,11,Chennai,CHE,G612,Residential,7.43,3.44,52.74,225.33,0,28.99,7.79,57.84,No,SM52409
20-10-2025,7,Bangalore,BLR,G290,Commercial,47.8,21.47,44.78,234.65,0,28.71,7.12,340.31,No,SM12624
24-02-2025,9,Ahmedabad,AMD,G549,Commercial,25.88,19.41,55.59,232.12,0,33.78,6.35,164.28,No,SM43072
25-12-2025,14,Chandigarh,CHD,G412,Industrial,89.93,44.34,50.99,228.15,0,29,5.75,517.21,No,SM50952
09-06-2025,11,Kolkata,PUN,G779,Residential,4.59,1.67,41.44,220.3,0,31.6,6.42,29.51,No,SM66243
16-10-2025,21,Chandigarh,CHD,G315,Industrial,250.47,83.82,72.05,230.84,0,21.98,6.03,1509.88,Yes,SM20418
21-01-2025,17,Bangalore,BLR,G399,Industrial,179.74,116.27,58.97,233.21,0,25.61,7.12,1279.22,No,SM61937
15-08-2025,22,Delhi,DEL,G929,Commercial,53,19.5,58.3,229.71,0,23.21,8.25,437.08,Yes,SM32575
30-09-2025,11,Ahmedabad,AMD,G623,Commercial,31.09,13.21,41.11,223.67,0,33.82,5.57,173.06,No,SM91915
20-06-2025,0,Chandigarh,CHD,G800,Commercial,25.94,11.88,38.59,222.87,0,24.09,5.75,149.03,No,SM28711
28-06-2025,2,Chennai,CHE,G409,Industrial,116.19,51.38,63.62,234.39,0,29.42,7.19,834.98,No,SM52223
14-10-2025,10,Hyderabad,HYD,G339,Commercial,29.53,9.87,57.95,225.91,0,33.68,6.95,205.27,No,SM22487
08-01-2025,22,Delhi,DEL,G895,Commercial,95.61,31.18,53.56,231.35,0,31.85,8.13,777.74,Yes,SM60647
22-06-2025,11,Bangalore,BLR,G758,Residential,8.11,3.54,53.81,225.11,0,27.78,6.98,56.59,No,SM78804
15-06-2025,1,Ahmedabad,AMD,G774,Commercial,20.92,9.76,36.09,220.89,0,27.24,5.73,119.9,No,SM82967
27-09-2025,4,Ahmedabad,AMD,G599,Residential,3.85,2.49,40.38,226.78,0,32.23,5.71,21.98,No,SM77032
15-06-2025,20,Delhi,DEL,G216,Industrial,251.49,58.61,61.15,230.81,0,29.46,7.91,1989.7,Yes,SM54357
08-10-2025,0,Chandigarh,CHD,G681,Industrial,71.41,34.87,45.14,230.22,0,23.1,5.56,397.1,No,SM72140
17-03-2025,11,Hyderabad,HYD,G667,Commercial,29.68,13.91,53.97,229.16,1,26.06,7.22,214.28,No,SM54848
20-10-2025,7,Delhi,DEL,G177,Industrial,132.45,55.2,61.24,227.56,0,26.02,8.44,1117.51,No,SM98235
04-02-2025,20,Hyderabad,HYD,G503,Residential,12.15,4.06,40.22,225.94,0,26.46,7.42,90.15,Yes,SM66881
14-07-2025,7,Kolkata,PUN,G936,Industrial,211.57,58.52,77.44,225.18,0,31.78,6.78,1434.74,No,SM60627
16-07-2025,8,Hyderabad,HYD,G295,Industrial,227.08,119.72,70.71,226.7,0,24.92,6.54,1485.28,No,SM57191
21-03-2025,10,Chennai,CHE,G243,Commercial,59.23,30.67,38.92,222.34,0,33.15,7.71,456.39,No,SM94176
23-02-2025,22,Ahmedabad,AMD,G435,Industrial,283.28,157.14,70.33,220.58,0,36.22,6.22,1761.02,Yes,SM13696
31-01-2025,16,Mumbai,MUM,G809,Commercial,16.54,4.32,60.65,220.95,0,31.84,9.16,151.52,No,SM45568
15-10-2025,10,Chandigarh,CHD,G334,Industrial,148.67,58.06,66.87,231.9,0,28.52,6.36,945.85,No,SM65215
03-11-2025,10,Chandigarh,CHD,G249,Industrial,118.43,52.03,41.84,225.62,0,28.49,5.85,693.2,No,SM36229
03-08-2025,13,Kolkata,PUN,G189,Residential,4.53,1.33,40.46,225.29,0,30.28,6.78,30.7,No,SM22674
20-11-2025,10,Chennai,CHE,G335,Commercial,49.65,18,40.97,232.16,0,30.35,7.46,370.24,No,SM24801
13-04-2025,17,Ahmedabad,AMD,G853,Commercial,11.57,5.75,33.16,230.96,0,29.62,5.89,68.18,No,SM14911
16-06-2025,1,Ahmedabad,AMD,G805,Residential,7.22,4.94,51.72,223.92,0,29.81,5.76,41.62,No,SM45447
17-09-2025,23,Hyderabad,HYD,G677,Commercial,52.18,24.67,50.22,220.35,0,25.75,6.74,351.77,No,SM86879
03-06-2025,1,Ahmedabad,AMD,G453,Commercial,10.49,5.18,57.05,221.42,0,35.26,5.52,57.92,No,SM99035
12-06-2025,15,Kolkata,PUN,G623,Commercial,45.68,12.52,57.59,230.57,0,25.82,6.62,302.24,No,SM87291
20-02-2025,4,Delhi,DEL,G838,Commercial,38.77,7.34,50.88,228.34,0,25.44,8.24,319.36,No,SM23458
04-01-2025,13,Ahmedabad,AMD,G882,Commercial,34.91,22.95,50.49,225.43,0,36.91,5.53,193.11,No,SM73391
20-12-2025,3,Delhi,DEL,G775,Industrial,140.59,39.8,61.06,229.58,0,27.54,7.9,1110.69,No,SM75624
04-05-2025,10,Bangalore,BLR,G965,Commercial,26.35,12.62,47.63,233.26,0,25.83,7.06,186.12,No,SM93705
01-11-2025,23,Chennai,CHE,G136,Residential,4.26,1.68,30.43,232.77,0,31.01,7.95,33.89,No,SM10731
29-08-2025,15,Hyderabad,HYD,G788,Commercial,30.78,15.72,52.08,226.08,0,28.15,7.43,228.7,No,SM39483
31-08-2025,4,Hyderabad,HYD,G536,Industrial,72.67,32.02,64.27,230.79,0,24.41,6.67,484.89,No,SM30688
13-03-2025,11,Delhi,DEL,G853,Industrial,143.59,52.26,50.36,223.87,0,29.86,7.93,1138.02,No,SM44681
05-01-2025,13,Bangalore,BLR,G564,Industrial,194.07,92.3,54.41,228.59,0,26.47,7.05,1367.55,No,SM88546
30-12-2025,19,Kolkata,PUN,G361,Commercial,52.94,14.6,44.22,227.85,0,26.62,6.54,346.29,Yes,SM58830
30-11-2025,3,Delhi,DEL,G948,Industrial,150.4,39.82,56.04,223.88,0,32.91,7.67,1153.68,No,SM29398
17-04-2025,9,Chennai,CHE,G694,Commercial,36.39,12.08,35.64,220.79,0,27.77,7.87,286.48,No,SM52291
09-06-2025,7,Delhi,DEL,G262,Commercial,29.74,7.38,50.97,223.82,0,30.26,8.14,242.18,No,SM62986
20-03-2025,14,Chennai,CHE,G258,Industrial,146.04,50.41,57.6,227.59,0,27.34,7.44,1085.84,No,SM43807
14-03-2025,2,Mumbai,MUM,G245,Residential,2.3,0.35,38.23,222.72,0,33.58,9.25,21.3,No,SM94676
04-12-2025,20,Chandigarh,CHD,G466,Industrial,308.66,166.23,74.87,222.73,0,29.08,5.79,1787.13,Yes,SM71305
20-04-2025,8,Kolkata,PUN,G118,Residential,5.88,2.34,40,229.74,0,22.21,6.46,37.98,No,SM42097
